depth_m,d15Nair
1388.77,0.45299999999999996
1394.27,0.45799999999999996
1399.77,0.483
1405.27,0.47100000000000003
1407.47,0.473
1408.02,0.462
1410.77,0.46
1413.52,0.467
1416.27,0.46399999999999997
1419.02,0.47
1421.77,0.47600000000000003
1424.52,0.48100000000000004
1427.27,0.48100000000000004
1432.77,0.485
1435.52,0.499
1438.27,0.49200000000000005
1441.02,0.49200000000000005
1443.77,0.474
1446.52,0.46399999999999997
1449.27,0.485
1452.02,0.478
1454.77,0.473
1460.27,0.47
1463.02,0.486
1465.77,0.452
1471.27,0.465
1474.02,0.49200000000000005
1476.77,0.478
1479.52,0.467
1482.27,0.467
1490.52,0.46299999999999997
1493.27,0.46399999999999997
1496.02,0.46399999999999997
1498.77,0.473
1501.52,0.45299999999999996
1504.27,0.47200000000000003
1507.02,0.48
1509.77,0.473
1515.27,0.475
1518.02,0.488
1520.77,0.489
1523.52,0.488
1526.27,0.478
1529.02,0.49
1531.77,0.49700000000000005
1537.27,0.505
1542.77,0.509
1545.52,0.504
1548.27,0.515
1551.02,0.505
1553.77,0.512
1556.52,0.521
1559.27,0.5
1562.02,0.48700000000000004
1564.77,0.523
1573.02,0.516
1578.52,0.529
1581.27,0.521
1584.02,0.512
1586.77,0.503
1589.52,0.512
1592.27,0.52
1595.18,0.521
1597.77,0.515
1600.52,0.516
1603.27,0.502
1606.02,0.514
1608.77,0.514
1611.52,0.523
1614.27,0.521
1617.02,0.514
1619.77,0.524
1622.68,0.52
1625.27,0.518
1628.02,0.522
1630.77,0.523
1633.52,0.522
1636.27,0.516
1639.02,0.514
1641.77,0.511
1644.52,0.512
1647.27,0.511
1650.21,0.509
1652.77,0.509
1655.52,0.531
1658.27,0.525
1661.02,0.515
1663.77,0.535
1669.27,0.531
1669.48,0.526
1672.02,0.521
1674.77,0.535
1677.52,0.525
1683.02,0.526
1685.77,0.517
1691.28,0.516
1694.02,0.546
1696.77,0.536
1699.52,0.53
1702.27,0.532
1705.53,0.5479999999999999
1707.77,0.544
1710.52,0.539
1713.27,0.557
1716.02,0.562
1718.77,0.546
1721.52,0.551
1724.27,0.552
1727.02,0.539
1729.77,0.55
1732.7,0.5379999999999999
1735.27,0.531
1738.02,0.536
1740.77,0.53
1743.52,0.54
1746.27,0.535
1749.02,0.5329999999999999
1751.77,0.529
1754.52,0.526
1760.18,0.504
1762.77,0.5
1765.52,0.494
1768.27,0.49700000000000005
1773.83,0.48
1776.52,0.473
1779.37,0.474
1782.02,0.447
1784.77,0.45
1784.84,0.456
1787.52,0.44799999999999995
1787.58,0.436
1790.42,0.445
1793.02,0.42
1795.83,0.42200000000000004
1801.33,0.42100000000000004
1804.57,0.42100000000000004
1806.83,0.42700000000000005
1809.52,0.413
1812.41,0.425
1815.08,0.426
1817.77,0.428
1817.83,0.426
1823.33,0.425
1828.83,0.425
1834.38,0.44
1839.77,0.452
1845.33,0.44799999999999995
1867.27,0.43700000000000006
1870.02,0.43700000000000006
